Club,President,Telephone,Ligue,Comite,Email,Site internet,Nombre de membres,Nombre de membres l'annee derniere,Facebook,Instagram
CAEN ASC BNP PARIBAS,Cyril DECLOMESNIL,,NORMANDIE,CALVADOS,,,1,1,,
CAEN MALADRERIE TENNIS,Christophe VIEL,0643442941,NORMANDIE,CALVADOS,maladrerie.tennis@gmail.com,http://www.club.FFT.fr/maladrerie.tennis,167,182,,
CAEN ST JEAN DE EUDES TC,Marc LE MOING,0673372745,NORMANDIE,CALVADOS,,,33,30,,
CAEN CHEMIN VERT ASL,Pierre NICOLLET,0231735817,NORMANDIE,CALVADOS,,https://www.aslcv.fr/tennis,33,40,,
CAEN TC,Pascal VESQUES,0231442602,NORMANDIE,CALVADOS,tccaen@free.fr,http://tennisclubdecaen.fr/,669,712,,
HEROUVILLE ST CLAIR ELSH TENNIS,Marianne CLIQUET,0231950584,NORMANDIE,CALVADOS,Info@espaceraquettes.com,http://www.elsh.fr,209,207,https://fr-fr.facebook.com/pages/category/Sports---Recreation-Venue/Espace-Loisirs-Sportifs-Herouville-662646660539390/,
LOUVIGNY TC,Pascal SCHWARTZ,0783041722,NORMANDIE,CALVADOS,pa.schwartz@fft.fr,http://louvigny-tennis-club.fr/,194,194,https://www.facebook.com/Tennis-Club-Louvigny,
MONDEVILLE USO,FREDERIC CHAZAL,0231842008,NORMANDIE,CALVADOS,uso.mondeville@fft.fr,http://usomtennis.com,191,202,http://usom tennis,
FLEURY SUR ORNE TC,Jérémy TRAVERS,0632504405,NORMANDIE,CALVADOS,,,25,26,,
BRETTEVILLE SUR ODON TC,Alexandre RICHARD,0682219837,NORMANDIE,CALVADOS,bureautcodon@gmail.com,http://www.club.fft.fr/tcbrettevillesurodon/,86,110,https://www.facebook.com/TCOdon/,
ROYAL TENNIS CORMELLES,Hervé HAMEL,0231726374,NORMANDIE,CALVADOS,escormellestennis@fft.fr,http://www.royaltenniscormelles.fr,83,101,,
IFS AMICALE DU TENNIS,Gilles BAERT,0231781503,NORMANDIE,CALVADOS,at.ifs@fft.fr,http://www.tennisifs.com,267,305,https://www.facebook.com/tennisifs/,
EPRON AS,Karim BORDJI,0231445142,NORMANDIE,CALVADOS,,,36,43,,
CAMBES EN PLAINE TC,Mylene VOISIN,,NORMANDIE,CALVADOS,tennis.cambesenplaine@hotmail.fr,,53,52,,
GIBERVILLE TC,Cyril DEFLESSELLES,,NORMANDIE,CALVADOS,contact@tennisgiberville.com,http://www.tennisgiberville.com,16,18,,
BIEVILLE TC LA POMMERAIE,Antoine BOUCLIER,0231443154,NORMANDIE,CALVADOS,tennispommeraie@orange.fr,http://www.tcpommeraie.fr,90,108,https://www.facebook.com/Tennisdelapommeraie/,
COLOMBELLES TC LEO LAGRANGE,Elodie GILBERT,0231724086,NORMANDIE,CALVADOS,colombellestennis@gmail.com,,1,3,,
VERSON TC,Gregory BLAIS,0231262183,NORMANDIE,CALVADOS,tc.verson@orange.fr,http://www.club.fft.fr/tc.verson,307,296,,
GRENTHEVILLE TC,Jean Pierre BRETEAU,0682686966,NORMANDIE,CALVADOS,tc.grentheville@fft.fr,http://tennisclubgrentheville.jimbo.com,98,77,,
BLAINVILLE SUR ORNE AS RENAULT TRUCK,Jean-françois EUSTACHE,0231705000,NORMANDIE,CALVADOS,,,10,10,,
BLAINVILLE SUR ORNE USM,Yoessa JEGOUIC,0231948107,NORMANDIE,CALVADOS,usmbtennis@live.fr,"http://perso,wanadoo,fr/usmb_tennis",98,104,,
SAINT ANDRE SUR ORNE USSA,Corinne BABÉ,0679981251,NORMANDIE,CALVADOS,ussatennis14320@gmail.com,http://ussatennis.wixsite.com/ussatennis/les-actualites,87,105,https://www.facebook.com/ussatennis14320/,
BIEVILLE BEUVILLE CLUB MUNICIPAL,Nicolas CASAS,0680382426,NORMANDIE,CALVADOS,contact@cmtbb.info,http://www.cmtbb.info,55,66,https://www.facebook.com/cmtbb,
DEMOUVILLE TENNIS,Gerard ROLLET,0231723727,NORMANDIE,CALVADOS,demouville.tennisclub@orange.fr,,44,52,,
CAGNY CT,Romuald PATTIER,,NORMANDIE,CALVADOS,tennis.cagny@fft.fr,,73,78,,
RANVILLE TC,Hubert COTTEBRUNE,0652628254,NORMANDIE,CALVADOS,club.tcr@hotmail.com,https://www.facebook.com/TCRanville,116,116,https://www.facebook.com/TCRanville,
FRENOUVILLE TC,Jean Claude MAGIS,,NORMANDIE,CALVADOS,xdurand@numericable.fr,http://tcf14.unblog.fr/,34,39,,
BRETTEVILLE L ORGUEILLEUSE TC,Joffrey SCHIEBEL,0231080410,NORMANDIE,CALVADOS,tcbo14@gmail.com,http://www.club.fft.fr/tcbo.brettevillelorg/,171,202,,
DOUVRES TC,Jean Christophe BOULON LEFEVRE,0231372114,NORMANDIE,CALVADOS,tcdouvresladelivrande@gmail.com,,183,202,,
BELLENGREVILLE TC,Vanessa LAIDET,,NORMANDIE,CALVADOS,v.laidet@hotmail.fr,http://www.club.fft.fr/bellengreville.tc,25,28,,
TROARN TENNIS CLUB,Emmanuel DUHARD,0963616853,NORMANDIE,CALVADOS,estroarntennis@gmail.com,http://tennistroarn.club.sportsregions.fr/,109,132,https://www.facebook.com/tc.troarn.9,
BARON SUR ODON (TC 2O),Michel DELAUNAY,,NORMANDIE,CALVADOS,president.tc2o@gmail.com,https://tc2o.wordpress.com/,136,119,https://www.facebook.com/tennisorneodon,
LION SUR MER SC HERMANVILLE,Benjamin FOURMY,0231972112,NORMANDIE,CALVADOS,i.tournoi@sclh.asso.fr,http://www.sclh.asso.fr/,100,109,,
OUISTREHAM RIVA BELLA TC,Nicolas BABINET,0231971538,NORMANDIE,CALVADOS,tc.riva-bella@fft.fr,http://www.club3.fft.fr/tc-riva-bella/,412,436,https://www.facebook.com/tennisclubrivabella/,
BAVENT TC BAVENTAIS,FLORENCE RENAUD,,NORMANDIE,CALVADOS,tennis.bavent@gmail.com,http://www.club.fft.fr/tcbaventais,47,51,http://Tennis Club Bavent,
LUC SUR MER TC,Antoine DUVAL,0231961824,NORMANDIE,CALVADOS,club.tennis@orange.fr,https://www.tennislucsurmer.fr,136,181,,
LANGRUNE SUR MER TC,Catherine ROUILLARD,0231967975,NORMANDIE,CALVADOS,tc.langrune@gmail.com,http://www.club-tennis.net/langrunesurmer,93,56,,
ACADEMIE DE TENNIS FRANCEVILLE,,0634259983,NORMANDIE,CALVADOS,,http:// academie-de-tennis-franceville.com,54,126,http:// academie de tennis franceville,
SAINT AUBIN SUR MER TC,Sophie SEGONZAC,0231973304,NORMANDIE,CALVADOS,,,29,52,,
ARGENCES TC,Emmanuel PACCAUD,0630775895,NORMANDIE,CALVADOS,argencestennisclub@gmail.com,https://argencestc.wordpress.com/,136,142,,
MOULT TC,Matthieu PICHON,,NORMANDIE,CALVADOS,contact@tennis-tcmm.fr,http://www.tennis-tcmm.fr,86,89,https://m.facebook.com/pages/category/Sports-Club/TCMM-Tennis-Club-de-Moult-de-la-Muance-1973759466004009/?locale2=fr_FR#_=_,
CREULLY TC,Alain LE MIEUX,0231801879,NORMANDIE,CALVADOS,tccreully@orange.fr,http://www.tccreully.com,268,242,,
COURSEULLES SUR MER TC,Béatrice HENRI,0231374662,NORMANDIE,CALVADOS,tccourseulles@gmail.com,http://www.tccourseulles.com,146,178,https://www.facebook.com/tccourseulles/,https://www.instagram.com/tccourseulles/?hl=fr
TILLY SUR SEULLES,Thibaut JEUVELL,,NORMANDIE,CALVADOS,,,2,3,,
