Club,President,Telephone,Ligue,Comite,Email,Site internet,Nombre de membres,Nombre de membres l'annee derniere,Facebook,Instagram
US DUNKERQUE TENNIS,Sylvain CAPPELLE,0328635416,HAUTS DE FRANCE,NORD,usdtennis@wanadoo.fr,http://www.club.fft.fr/usdtennis,372,336,,
TENNIS SQUASH BADMINTON DUNKERQUE,Frederic BUSSELEZ,0951591953,HAUTS DE FRANCE,NORD,secretaire@tsbdunkerque.fr,http://www.tsbdunkerque.fr,216,244,,
TC COUDEKERQUE BRANCHE,FREDERICK LEPRINCE,0328611330,HAUTS DE FRANCE,NORD,tccbfft@free.fr,,252,257,,
SMPS DUNKERQUE,Monique WIDEHEM,0328604039,HAUTS DE FRANCE,NORD,smps-tennis@orange.fr,http://www.smps-tennis.com,157,169,https://fr-fr.facebook.com/SMPS-tennis-385196758204206/,
TC SAINT POL SUR MER,Pascal VERMEERSCH,0328613700,HAUTS DE FRANCE,NORD,tc.saintpolsurmer@orange.fr,,100,131,,
TC CAPPELLE-LA-GRANDE,Jean-Claude KULAK,,HAUTS DE FRANCE,NORD,tc.cappelle@fft.fr,,46,51,,
UNION SPORTIVE LEFFRINCKOUCKE,Nicolas LEFEBVRE,0602643394,HAUTS DE FRANCE,NORD,beachtennisusl@gmail.com,http://club.fft.fr/tennisleffrinckoucke,117,135,,
TC TETEGHEM,Jean-Claude DESNOUES,0328261343,HAUTS DE FRANCE,NORD,tennis.teteghem@gmail.com,http://www.tennis-teteghem.com,166,200,https://www.facebook.com/TennisClubTeteghem,
OLYMPIQUE GRANDE-SYNTHE,Emos PECQUEUX,0951976008,HAUTS DE FRANCE,NORD,ogstennis.info@gmail.com,http://ogstennis-fr.webnode.fr/,241,274,,
TC BERGUES,Serge BALLART,0328209491,HAUTS DE FRANCE,NORD,tennisclubberguois@gmail.com,http://sites.google.com/view/tc-bergues,131,132,https://www.facebook.com/TennisClubdeBergues,
LOISIRS TENNIS CLUB HOYMILLE,Sébastien OLIVARES,0328681884,HAUTS DE FRANCE,NORD,tennisclub.hoymille@free.fr,,24,54,,
TC BRAY DUNES,Christian BOQUET,0328585382,HAUTS DE FRANCE,NORD,tennisclubbray-dunes@sfr.fr,http://www.club.fft.fr/tcbray-dunes,76,127,,
TC LOON-PLAGE,Etienne DUVETTE,0328512556,HAUTS DE FRANCE,NORD,tcloonplage@free.fr,http://tennis-loonplage.fr,271,248,https://www.facebook.com/,
SC BOURBOURG,Yves CAVROIS,0328623929,HAUTS DE FRANCE,NORD,salledetennis.bourbourg@orange.fr,http://scbtennisbourbourg.e-monsite.com,130,143,,
TC ESQUELBECQ,Annie DUPONT,0767236758,HAUTS DE FRANCE,NORD,tcesquelbecq@orange.fr,,39,57,,
US GRAVELINES TENNIS,Marie-José LESAGE,0328654051,HAUTS DE FRANCE,NORD,usgt2@wanadoo.fr,http://usg-gravelines-tennis.fr/,166,171,https://www.facebook.com/usg.tennis.5,
TC WORMHOUT,Vincent DELMOTTE,,HAUTS DE FRANCE,NORD,vincent.delmotte@sfr.fr,,53,54,,
TC GRAND-FORT-PHILIPPE,Jean-Noël BLOCKLET,0328239659,HAUTS DE FRANCE,NORD,tcgfp@gmx.fr,,62,73,,
TC OYE-PLAGE,Daniel GOSSELIN,0630738828,HAUTS DE FRANCE,PAS DE CALAIS,,,35,30,,
TC PAYS DE CASSEL,Frédéric BUTAYE,0328424659,HAUTS DE FRANCE,NORD,tennispayscassel@orange.fr,,16,46,,
TC STEENVOORDE,Philippe LEJEUNE,0328481739,HAUTS DE FRANCE,NORD,tennis.steenvoorde@gmail.com,http://tennis-steenvoorde.com,287,269,https://www.facebook.com/tcsteenvoorde/,
TC AUDRUICQ,Mirella COENS,0321868200,HAUTS DE FRANCE,PAS DE CALAIS,,,117,156,,
SPORTS &amp; LOISIRS DE MOULLE,Aude LAVOGIEZ,0321125443,HAUTS DE FRANCE,PAS DE CALAIS,audelavog@aol.com,http://www.club.fft.fr/s.l.moulle,95,116,,
TC MARCK,Jacques BART,0321854411,HAUTS DE FRANCE,PAS DE CALAIS,tennisclubdemarck@gmail.com,http://www.tennisclubdemarck.fr,179,177,https://www.facebook.com/tennisclubdemarckofficiel/,
TC SAINT MARTIN AU LAERT,Jérôme DENYS,0321391664,HAUTS DE FRANCE,PAS DE CALAIS,tennisclubstmartin@gmail.com,https://club.fft.fr/tcsaintmartinaulaert/56620321,181,192,https://www.facebook.com/tennisclubsaintmartinaulaert/,
TC SAINT-OMER,Jean-Pierre DEBASTE,0321983731,HAUTS DE FRANCE,PAS DE CALAIS,tennisclubsaintomer@gmail.com,http://www.club.fft.fr/tcsaintomer,294,382,https://fr-fr.facebook.com/Tennis-Club-de-Saint-Omer,
ETOILE SPORTIVE ARQUES,Géry MAILLY,0321933078,HAUTS DE FRANCE,PAS DE CALAIS,esatennis@9business.fr,http://www.club.fft.fr/esarquestennis,293,323,,
SC ARDRESIEN,Annie DEGRYSE,0321851422,HAUTS DE FRANCE,PAS DE CALAIS,scardres@fft.fr,http://scardres.comyr.com,203,189,,
CLUB TULIPE NOIRE HAZEBROUCK,Xavier BROCVIELLE,0328414956,HAUTS DE FRANCE,NORD,tulipenoire@fft.fr,,526,556,,
TC COULOGNE,Eric BESIN,0321821010,HAUTS DE FRANCE,PAS DE CALAIS,tennisclubcoulogne@fft.fr,http://club.fft.fr/tennisclubcoulogne,170,183,https://fr-fr.facebook.com/tennisclub.decoulogne,
STADE OLYMPIQUE DE CALAIS,François PARENTY,0321962525,HAUTS DE FRANCE,PAS DE CALAIS,,,11,14,,
ASSOCIATION TENNIS WIZERNOISE,Damien GREBERT,0984487450,HAUTS DE FRANCE,PAS DE CALAIS,emilie.magnier@fft.fr,,59,19,https://www.facebook.com/wizernestennisclub,
TCC CALAIS,Yves MARTINAGE,0674349345,HAUTS DE FRANCE,PAS DE CALAIS,tennisclubcalais@gmail.com,,22,23,,
STC CALAIS,Alain GUEROT,0321340544,HAUTS DE FRANCE,PAS DE CALAIS,stccalais@gmail.com,http://www.stccalais.com,318,319,,
BLERIOT TC,Clémence HERKT,0682135359,HAUTS DE FRANCE,PAS DE CALAIS,btc.bleriot@gmail.com,https://tcbleriot.github.io/,236,198,https://www.facebook.com/groups/708894309241398/,
TC GUINES,Morgan CHOUROT,0668867783,HAUTS DE FRANCE,PAS DE CALAIS,tc.guines@laposte.net,,38,52,https://www.facebook.com/tennis.guines.9,
TC METEREN,Sebastien LIONET,0643161056,HAUTS DE FRANCE,NORD,,,32,38,,
TC BAILLEUL,Françoise ASSEMAN,0328491826,HAUTS DE FRANCE,NORD,tcb59@free.fr,https://sites.google.com/view/tcbailleul/accueil,303,339,,
TC LUMBRES,Bastien PASQUALINI,0616168633,HAUTS DE FRANCE,PAS DE CALAIS,tennisclublumbrois@gmail.com,http://www.club.fft.fr/tclumbrois_news,113,109,https://www.facebook.com/tclumbrois/,https://www.instagram.com/tennis_club_lumbrois/
TC VIEUX-BERQUIN,Patrick LABIS,,HAUTS DE FRANCE,NORD,plabis59232@gmail.com,,46,40,,
TC AIRE-SUR-LA-LYS,Roger LEPRETRE,0960477546,HAUTS DE FRANCE,PAS DE CALAIS,aire-tennis-club@orange.fr,https://club.fft.fr/airetennisclub,246,259,,
TC DOULIEU,Vincent FACON,0663778167,HAUTS DE FRANCE,NORD,tcledoulieu@fft.fr,,26,23,,
TC MERVILLE,David VANHILLE,0328496930,HAUTS DE FRANCE,NORD,tennisclubmerville@yahoo.fr,,158,193,https://www.facebook.com/Tennis-Club-Merville-1636441049923973/?eid=ARAdvbE30Tce7SCMJW8Uh5IQsS8tv9KGMhtIv-LVpY3Atgr1J1ugqIKucs4hZac4PZRwFInlFY79VBvv,
TC NEUF-BERQUIN,Stephanie HUCHETTE,0328420654,HAUTS DE FRANCE,NORD,huchette.dost@orange.fr,,10,19,,
ES ISBERGUES,Philippe FUMERY,0321260582,HAUTS DE FRANCE,PAS DE CALAIS,es-isbergues.tennis@fft.fr,http://www.club.fft.fr/es-isbergues-tennis,89,106,,
