Club,President,Telephone,Ligue,Comite,Email,Site internet,Nombre de membres,Nombre de membres l'annee derniere,Facebook,Instagram
ASPTT GAP,Alain RAVETTA,0961351065,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,aspttgaptennis@orange.fr,http://www.gap.asptt.com,160,248,https://www.facebook.com/ASPTT-Gap-Tennis-254755664975575/?__tn__=%2CdK-R-R&eid=ARDvfvnCwnljr0tNgoYoJkVj4x0AUIAmFgmvStnPZSeJ2MBpVR08V7fjICfiB1w7AjKwnEeN6N2qNTEq&fref=mentions,
TC GAP,ERIC NOELL,0492539812,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,tennisclubgap@gmail.com,http://www.club.fft.fr/tcgap,347,316,https://www.facebook.com/groups/tcgap/,
COMITE HAUTES ALPES TENNIS,Jean-Luc SIRAGUSA,0967104809,PROVENCE ALPES COTE D'AZUR,Comité (L0) de la LIGUE PROVENCE ALPES COTE D'AZUR,comite05@fft.fr,http://www.comite.fft.fr/hautes-alpes,3,7,https://www.facebook.com/Comite05FFT,
TC BATIE-NEUVE,Benoit FENEYROL,0687294267,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,tclabatieneuve@gmail.com,,32,56,http://www.facebook.com/tennisclublabatieneuve,
TALLARD TENNIS CLUB,WILLIAM LAMBERTI,0614693014,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,tennisclub.tallard@gmail.com,,8,14,,
TC ST BONNET,Jean-Charles AZZOPARDI,0492500940,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,22050194@fft.fr,http://www.club.fft.fr/tcstbonnet,204,124,https://www.facebook.com/tcstbonnet/,
TC VEYNES,Christian GARCIN,0492572905,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,22050152@fft.fr,http://www.club.fft.fr/tennisclubveynes,55,60,,
TC ASPRES SUR BUECH,Jean-François DUMANOIS,,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,22050507@fft.fr,,19,15,,
TC EMBRUN,Emilie CHOLLET,0492430336,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,tcembrun@gmail.com,http://club.fft.fr/tennisclub.embrun,112,106,,
USB SEYNE TENNIS,Jean-Claude MATHIEU,0492353987,PROVENCE ALPES COTE D'AZUR,ALPES DE HAUTE PROVENCE,usb.tennis@laposte.net,,1,4,,
TC LARAGNE,Frederic MOREAU,0698832741,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,direction@tennisclublaragne.fr,http://www.tennisclublaragne.fr,86,82,,
VALBONNAIS TENNIS CLUB,Gilbert JACQUET,,AUVERGNE RHONE-ALPES,ISERE,gazette.valbonnais@gmail.com,,27,13,,
TC RIBIERS,Claude TRIPODI,0492632933,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,claude.tripodi@orange.fr,,19,16,,
TC SISTERON,Xavier TRUJILLO,0492614717,PROVENCE ALPES COTE D'AZUR,ALPES DE HAUTE PROVENCE,22040117@fft.fr,http://club.fft.fr/tc.sisteron,136,147,,
MURE (LA) TENNIS CLUB,Xavier CIOT,0476813975,AUVERGNE RHONE-ALPES,ISERE,tennis-club-de-la-mure@orange.fr,,124,121,,
TC ARGENTIERE,claude TREZEUX,0672782798,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,tcargentiere@gmail.com,http://club.fft.fr/tc.argentierois,28,59,,
TC GUILLESTRE,Sebastien MULLER,0783645338,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,tcguillestrois@yahoo.fr,http://www.club.fft.fr/tcguillestre,107,91,,
TC PRALOUP - MOLANES,Jean-Pierre GROSJEAN,0492841887,PROVENCE ALPES COTE D'AZUR,ALPES DE HAUTE PROVENCE,tcpraloup@orange.fr,http://tcpraloup.fr,43,40,,
AS VARS,Jacques LEY,0492465307,PROVENCE ALPES COTE D'AZUR,HAUTES ALPES,jaco.ley@orange.fr,,7,4,,
CHATILLON EN DIOIS TENNIS CLUB,Bernard DEGREMONT,0475211377,AUVERGNE RHONE-ALPES,DROME,degremontbernard@orange.fr,,38,32,,
TC BARCELONNETTE,Andre GUIGLION,0492811698,PROVENCE ALPES COTE D'AZUR,ALPES DE HAUTE PROVENCE,tcbarcelo@gmail.com,http://club.fft.fr/tcbarcelonnette,84,106,,
LUC EN DIOIS TENNIS CLUB,Bruno VINCENT,0640128105,AUVERGNE RHONE-ALPES,DROME,montlaurpatrimoine@orange.fr,,38,31,,
