Club,President,Telephone,Ligue,Comite,Email,Site internet,Nombre de membres,Nombre de membres l'annee derniere,Facebook,Instagram
TENNIS DU PHARO MAIRIE DU 1/7,,0491318239,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,,,,,,
UCS DOUANES PEYSSONNEL TENNIS,Julien VIATTE,0953771896,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,contact@ucsdp.fr,http://www.club.fft.fr/ucsdp,187,152,https://www.facebook.com/ucsdp,
WILLIAM TENNIS CLUB,KARIM ARNOUX,0612226553,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,williamtennisclub@wanadoo.fr,http://williamtennisclub.com,422,387,,
TENNIS CLUB MARSEILLE,Nathalie BENVENISTE,0491778486,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,secretariat@tennisclubmarseille.fr,http://tennisclubmarseille.fr,727,677,http://tennisclubmarseille.fr/,
C.S.A.M. AUDEOUD,Isabelle LEPRETRE,,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,isalep2013@yahoo.fr,http://www.club.fft.fr/tenniscsamaudeoud,46,45,,
CERCLE SPORTIF MARSEILLE TENNIS,Michel BERENGUER,0771328784,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,csmtennis@wanadoo.fr,https://www.csmtennis.fr,712,743,,
MAGNAC ASPTT MARSEILLE,Claude CHAMBARD,0491771642,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,tennis.marseille@asptt.com,http://marseille.asptt.com/,272,303,,
SMUC,Laurence BOIS,0981218877,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,tennis@smuc.fr,http://www.smuc.fr/sections/tennis.html,500,537,,
TENNIS CLUB LA FOURRAGERE ASPTT,Pierre BLAISE,0491938585,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,tennisfourragere@orange.fr,http://www.la-fourragere.asptt.com,1150,1239,https://www.facebook.com/tennisclublafourragere/,
S.C. MONTREDON BONNEVEINE,Martine FERNANDEZ,0491724564,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,scmbtennisclub@gmail.com,http://scmbtennisclub.blogspot.fr/,163,166,,
TENNIS CLUB BOIS-LUZY,Marcel DE FALCO,0491938310,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,tcbl@free.fr,,222,248,,
A.S. REALTOR,Jean Daniel ROUL,,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,jdroul@gmail.com,,26,21,,
TENNIS CLUB LA ROSE,VALERIE MERLONGHI,0695843185,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,tclarose@gmail.com,http://www.club.fft.fr/tclarose,223,282,https://www.facebook.com/tclarose,
SCO STE MARGUERITE TENNIS,thierry GOIRAND,0973845702,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,tennissco@gmail.com,,158,149,,
TENNIS CLUB FETE LE MUR MARSEILLE,Marc HABABOU,0491699419,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,tcflmmarseille.bureau@gmail.com,http://fetelemur.com,216,260,https://www.facebook.com/fetelemurmarseille/,
T.C QUEIREL ST-LOUP,Nicolas TRISTRANT,0491449637,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,tc.queirel@free.fr,http://www.tcqueirel.fr,407,413,,
TENNIS CLUB CAMPUS ETOILE,Didier OMIROS,0642518578,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,d.omiros@mac.com,http://www.club.fft.fr/tcetoile,73,51,,
A.S. TENNIS MONTVAL,Claudie NAPOLI,0491747947,PROVENCE ALPES COTE D'AZUR,BOUCHES DU RHONE,tennismontval@numericable.fr,http://www.club.fft.fr/tennismontval,315,401,https://www.facebook.com/TennisclubMontval/,
