Club,President,Telephone,Ligue,Comite,Email,Site internet,Nombre de membres,Nombre de membres l'annee derniere,Facebook,Instagram
COMITE HAUTES PYRENEES TENNIS,Yves PIETTE,0562519899,OCCITANIE,Comité (L0) de la LIGUE OCCITANIE,comite.hautes-pyrenees@fft.fr,http://www.comite.fft.fr/hautes-pyrenees/,68,7,https://www.facebook.com/pg/Comité-Départemental-De-Tennis-des-Hautes-Pyrénées-1644165622512372/about/?ref=page_internal,
TARBES TENNIS CLUB U.A.T,Jean Pierre PONTACQ,0562932009,OCCITANIE,HAUTES PYRENEES,tennis.uat@wanadoo.fr,http://www.club.fft.fr/tennisuat/23650032_a/cms/index_public.php?PHPSESSID=e85ce,296,314,,
LES EPERVIERS TENNIS CLUB,Jérôme LASCOURREGES,,OCCITANIE,HAUTES PYRENEES,,,2,3,,
TARBES CHEMINOTS SPORTS T.C,Frédéric SAMPER,0562341035,OCCITANIE,HAUTES PYRENEES,,,8,13,,
CSA EDELWEISS TENNIS,Patrick SARCIA,0562368344,OCCITANIE,HAUTES PYRENEES,club.edelweiss@gmail.com,http://www.club-edelweiss.fr,6,12,,
ASC AUREILHAN TENNIS,Michel LARTIGUE,0634576193,OCCITANIE,HAUTES PYRENEES,ascatennis@laposte.net,http://ascatennis.jimdo.com/,48,45,,
GESPE Tennis Sport,Cedric MAJOURAU,0683118861,OCCITANIE,HAUTES PYRENEES,gespetennissport@gmail.com,,125,125,https://fr-fr.facebook.com/gespetennissport/,
SEMEAC OLYMPIQUE TENNIS,Jean-Luc BOREL,0562363606,OCCITANIE,HAUTES PYRENEES,tennissemeacolympique@gmail.com,http://www.club.fft.fr/tcsemeacolympique,118,141,https://www.facebook.com/profile.php?id=100008958032187,https://instagram.com/semeacolympiquetennis?igshidj8gm67tiwmx3
CIGOGNES TENNIS CLUB,Jacques DUBAU,,OCCITANIE,HAUTES PYRENEES,,,5,6,,
MERIDIEN SPORTS TENNIS CLUB,Jean Claude KNAEBEL,0562932220,OCCITANIE,HAUTES PYRENEES,,,60,60,,
ODOS TENNIS CLUB,Guillaume BOUBE,0562450553,OCCITANIE,HAUTES PYRENEES,jso.tennis@orange.fr,https://club.fft.fr/tcjsodos/60650120_a/cms/index_public.php?us_action=show_note_site&login_off=1&ui_id_site=1,122,105,,
BORDERES SUR ECHEZ TENNIS CLUB,Sophie DRAPIER,0641802502,OCCITANIE,HAUTES PYRENEES,borderestennisclub65@gmail.com,,36,59,https://www.facebook.com/jabtennis/,
BARBAZAN DEBAT TENNIS CLUB,Lionel ROUCHAUD,,OCCITANIE,HAUTES PYRENEES,contact.barbazantennis@gmail.com,,106,92,https://www.facebook.com/Tennis-Club-Barbazan-Debat-938719632969516/,
JUILLAN TENNIS CLUB,Jean-Michel BARTA,,OCCITANIE,HAUTES PYRENEES,juillantennis@gmail.com,http://juillantennis.free.fr/,81,91,,
BOURS BAZET TENNIS CLUB,Daniel GUERIT,,OCCITANIE,HAUTES PYRENEES,bazet.tennis@gmail.com,,41,47,,
TENNIS CLUB PYRENEES BIGORRE,Sébastien REMY,0661758149,OCCITANIE,HAUTES PYRENEES,tcpb65@gmail.com,http://www.tcpb65.fr,125,133,https://www.facebook.com/Tennis-Tcpb-65-834459189942619,https://www.instagram.com/tennis.tcpb65.tarbes/?hl=fr
IBOS TENNIS CLUB,Christine BOURDEAU,0660581366,OCCITANIE,HAUTES PYRENEES,tc.ibos@orange.fr,,112,117,http://TC IBOS@tc.ibos,
LOUEY TENNIS CLUB,Sylvain JONET,,OCCITANIE,HAUTES PYRENEES,louey.tennis@orange.fr,http://www.club.fft.fr/tclouey,41,58,,
POUYASTRUC TENNIS CLUB,Lionnel BERNARD,0622277486,OCCITANIE,HAUTES PYRENEES,club.tennis.pouyastruc@gmail.com,http://tcp.pouyastruc.free.fr/tcp/,43,32,https://www.facebook.com/TennisClubPouyastruc,
AZEREIX OSSUN TENNIS CLUB,Jean Noël NOGUE,0562328396,OCCITANIE,HAUTES PYRENEES,,http://www.club.fft.fr/tcazereixossun65,78,67,,
GER FOYER RURAL,Armand CASTRO,,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640156@fft.fr,http://www.club.fft.fr/frgertennis/,31,32,,
TOURNAY TENNIS CLUB,Cedric VIDAL,,OCCITANIE,HAUTES PYRENEES,,,69,75,https://www.facebook.com/tennisclubtournay/,
ARRODETS EZ ANGLES TENNIS CLUB,Jean Paul GUILBAUD,,OCCITANIE,HAUTES PYRENEES,,,4,4,,
LAMARQUE PONTACQ,Claudine CABANNE,0665720150,OCCITANIE,HAUTES PYRENEES,asclamarquetennisclub@fft.fr,,64,76,http://ASCL TENNIS LAMARQUE ET PONTACQ,
LOURDES TENNIS CLUB,Thierry BRISSOT,0562940090,OCCITANIE,HAUTES PYRENEES,tennis.lourdes@orange.fr,http://www.club.fft.fr/tennislourdes,178,180,https://www.facebook.com/Tennis-Club-Lourdais-946445598770401/,
VIC BIGORRE TENNIS CLUB,Celia FARAUD,0562316327,OCCITANIE,HAUTES PYRENEES,tcvic65@gmail.com,http://www.club.fft.fr/tc.tennisclubvicquois/23650122_a/cms/index_public.php?us_,126,128,https://www.facebook.com/profile.php?id=100008859665789,
RABASTENS DE BIGORRE T.C,Lionel SAINTAGNE,0562965891,OCCITANIE,HAUTES PYRENEES,lionel.saintagne@orange.fr,,25,36,,
ESPOEY AS,Jesus ROYO,0672145818,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640231@fft.fr,,30,35,,
BAGNERES DE BIGORRE TENNIS,Christian GACHASSIN,0562942559,OCCITANIE,HAUTES PYRENEES,tcbb.tennis@orange.fr,,172,203,https://www.facebook.com/TCBB65200/,
SOUMOULOU TC,Gilles CAILLABET,0559046043,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640243@fft.fr,http://www.club.fft.fr/soumouloutc/09640243_a/cms/index_public.php?PHPSESSID=933,84,104,https://fr-fr.facebook.com/tcsoumoulou,
MONTAUT TC,Claude GOUDET,,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,09640163@fft.fr,,15,20,,
TRIE SUR BAISE TENNIS CLUB,Stéphane GREGOIRE,,OCCITANIE,HAUTES PYRENEES,tennisclubtriais@yahoo.fr,,29,31,,
MAUBOURGUET TENNIS CLUB,Philippe ROCHE,0683709545,OCCITANIE,HAUTES PYRENEES,23650034@fft.fr,http://www.club.fft.fr/somtennismaubourguet/,79,71,,
GALAN TENNIS CLUB,Philippe STALDER,0645352525,OCCITANIE,HAUTES PYRENEES,,http://www.club.fft.fr/tennisclubgalanais/23650241_a/cms/index_public.php?PHPSES,61,65,,
ARTIGUELOUTAN TC,JEAN-PIERRE DARGET,,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,tennisartigueloutan@hotmail.fr,,51,54,,
BOEIL BEZING SPORTS,Maryse CHARDY,0559532310,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640160@fft.fr,,66,69,,
NAY TC,Laurent JUDE,0559611989,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640095@fft.fr,http://www.club.fft.fr/naytc,141,152,,
LANNEMEZAN TENNIS CLUB,Philippe LARRIEU,0682045551,OCCITANIE,HAUTES PYRENEES,tclannemezan@orange.fr,http://www.club.fft.fr/tclanemezan,49,60,https://www.facebook.com/TennisClub-Lannemezan-680017992126021,
BORDES TC,Jacques DOVIS,0601012645,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640258@fft.fr,http://www.club.fft.fr/tcbordes64,159,159,https://www.facebook.com/TCBordes/,
TC LAVEDAN ARGELES PIERREFITTE,Delphine LEFEUVRE,0615411102,OCCITANIE,HAUTES PYRENEES,tennisclublavedan@gmail.com,http://www.club.fft.fr/tclavedan,125,136,,
ASSAT AVENIR,Christine GUILLARD,0624668336,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640227@fft.fr,,16,10,,
MORLAAS TC,Nicolas ZEBBAR,0622898553,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,morlaastc@gmail.com,http://tcmorlaas.fr/,133,164,https://www.facebook.com/tc.morlaas/,
TENNIS SQUASH LES PEUPLIERS,Aurélie CARADONNA,0562988184,OCCITANIE,HAUTES PYRENEES,lespeupliers65@hotmail.fr,http://www.cslp.fr/,168,176,https://www.facebook.com/centresportif.lespeupliers/,
LA TENAREZE TENNIS CLUB,Laurent VASSE,0679300506,OCCITANIE,HAUTES PYRENEES,tctenareze@gmail.com,,22,16,,
LEE TC,Cyprien BALZANO,0769070009,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,tclee64@gmail.com,https://tclee64.wixsite.com/tclee,156,189,,
ARUDY OSSAU TC,Jean Charles DELAPORTE,0559056532,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640009@fft.fr,,40,27,,
BORDES TURBOMECA ASC,Benoît CARRIER,0559820136,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640012@fft.fr,http://www.club.fft.fr/asc.turbomeca,9,9,,
MARCIAC TENNIS CLUB,Maryse PAGES,0683956143,OCCITANIE,GERS,tennisclubmarciacais@gmail.com,,64,56,,
BRUYERES (LES) TC,Jean Pierre PUERTOLAS,0559025002,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640150@fft.fr,,90,95,,
BIZANOS AVENIR,Hugues COURALET,0771853273,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,59640112@fft.fr,http://www.club.fft.fr/bizanostennis,251,252,https://fr-fr.facebook.com/AvenirBizanosTennis/,https://www.instagram.com/avenirbizanostennis/
PAU FETE LE MUR,Dany KALOMBO,0620814327,NOUVELLE AQUITAINE,PYRENEES ATLANTIQUES,pau@fetelemur.com,http://www.fetelemur-pau.com,59,614,https://www.facebook.com/FeteLeMurPau/,
MAGNOAC TENNIS CLUB,José ORTEGA,,OCCITANIE,HAUTES PYRENEES,magnoactc@gmail.com,http://www.club.fft.fr/tennisclubmagnoac,112,121,https://www.facebook.com/magnoac.tennisclub,
